role_key,role_name,scope,membership_cardinality,primary_authority,prohibited,stable_odoo_group,cross_campaign_access,status
agent,Campaign Agent,One campaign,Exactly one active operational membership,"Work assigned or queued contacts; calls; callbacks; campaign mail","Campaign switching; user management; configuration; cross-campaign data; recording search; bulk export",codestra_cc_security.group_cc_agent,FALSE,MISSING
senior_agent,Senior Agent / SME,One campaign,Exactly one active operational membership,"Agent duties plus assigned peer-support and coaching tasks","Supervisor dashboards; membership changes; silent monitoring; QA finalization",codestra_cc_security.group_cc_senior_agent,FALSE,MISSING
supervisor,Campaign Supervisor,One campaign,"Exactly one active campaign and exactly one active primary supervisor per active human-staffed campaign","All campaign operations; queue oversight; approved monitoring; escalations; coaching; schedule exceptions","Other campaigns; global configuration; changing signed QA results; self-assignment as a second supervisor",codestra_cc_security.group_cc_supervisor,FALSE,MISSING
qa_analyst,QA Analyst,Assigned campaign QA scope,Explicit assigned membership,"Sample; score; calibrate; create coaching recommendations","Changing dispositions; CRM stages; financial decisions; user memberships; scripts",codestra_cc_security.group_cc_qa_analyst,FALSE,MISSING
wfm_analyst,Workforce / Real-Time Analyst,Assigned campaign metrics or de-identified aggregate,Explicit assigned membership or approved aggregate grant,"Forecast; schedule; adherence; real-time queue management","Full customer notes; documents; recordings; payments; underwriting content",codestra_cc_security.group_cc_wfm_analyst,FALSE,MISSING
compliance_officer,Compliance Officer,Policy scope,Explicit policy grant,"Consent; DNC; disclosure; retention; hold controls","Selling; funding; dispositioning as an agent; altering QA evidence",codestra_cc_security.group_cc_compliance_officer,CONTROLLED,MISSING
campaign_config_manager,Campaign Configuration Manager,Assigned campaign configuration,Explicit assigned membership,"Draft scripts; dispositions; aliases; SLAs; mappings","Publishing own high-risk change without approval; live dialing activation",codestra_cc_security.group_cc_campaign_config_manager,FALSE,MISSING
global_cc_admin,Global Contact Center Administrator,All campaigns,Audited global role,"Overall configuration; access governance; incident response; approved break-glass","Unlogged access; self-approval where two-person control is required",codestra_cc_security.group_cc_global_admin,AUDITED,MISSING
technical_admin,Technical Administrator,Platform only by default,No operational campaign membership by default,"Module; infrastructure; deployment maintenance","Business-data access except time-bounded break-glass",codestra_cc_security.group_cc_technical_admin,BREAK_GLASS_ONLY,MISSING
auditor,Auditor,Approved read-only evidence,Explicit evidence grant,"Audit; reconciliations; release evidence",Operational writes,codestra_cc_security.group_cc_auditor,READ_ONLY,MISSING
