canonical_campaign_code,business_unit_code,direction,technical_callback_compatibility,agent_login_allowed,callback_policy_status,callback_record_status,appointment_status,reminder_status,same_campaign_recovery,callback_publication_enabled,external_readback_status,status
MOY-CARRIER-OUT,MOY,OUT,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
MOY-SHIPPER-OUT,MOY,OUT,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
MOY-DISPATCH-OUT,MOY,OUT,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
MOY-PARTNER-OUT,MOY,OUT,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
MOY-RETENTION-OUT,MOY,OUT,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
MOY-UPSELL-OUT,MOY,OUT,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
MOY-CALLBACK-OUT,MOY,OUT,TRUE,FALSE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
MOY-CARRIER-IN,MOY,IN,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
MOY-SHIPPER-IN,MOY,IN,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
MOY-DISPATCH-IN,MOY,IN,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
MOY-SUPPORT-IN,MOY,IN,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
MOY-BILLING-IN,MOY,IN,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
MOY-APPOINTMENT-IN,MOY,IN,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
COD-WEB-OUT,COD,OUT,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
COD-MOBILE-OUT,COD,OUT,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
COD-AI-OUT,COD,OUT,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
COD-ODOO-OUT,COD,OUT,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
COD-AUTOMATION-OUT,COD,OUT,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
COD-HOSTING-OUT,COD,OUT,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
COD-RENEWAL-OUT,COD,OUT,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
COD-UPSELL-OUT,COD,OUT,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
COD-CALLBACK-OUT,COD,OUT,TRUE,FALSE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
COD-WEB-IN,COD,IN,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
COD-MOBILE-IN,COD,IN,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
COD-AI-IN,COD,IN,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
COD-ODOO-IN,COD,IN,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
COD-SUPPORT-IN,COD,IN,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
COD-BILLING-IN,COD,IN,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
COD-APPOINTMENT-IN,COD,IN,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
SCP-PRODUCT-OUT,SCP,OUT,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
SCP-CAREGIVER-OUT,SCP,OUT,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
SCP-REORDER-OUT,SCP,OUT,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
SCP-RETENTION-OUT,SCP,OUT,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
SCP-UPSELL-OUT,SCP,OUT,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
SCP-CALLBACK-OUT,SCP,OUT,TRUE,FALSE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
SCP-PRODUCT-IN,SCP,IN,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
SCP-ORDER-IN,SCP,IN,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
SCP-SUPPORT-IN,SCP,IN,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
SCP-WARRANTY-IN,SCP,IN,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
SCP-BILLING-IN,SCP,IN,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
SCP-CAREGIVER-IN,SCP,IN,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
SCP-APPOINTMENT-IN,SCP,IN,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
MBL-NEW-LOAN-OUT,MBL,OUT,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
MBL-DOCUMENTS-OUT,MBL,OUT,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
MBL-OFFER-OUT,MBL,OUT,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
MBL-FUNDING-OUT,MBL,OUT,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
MBL-RENEWAL-OUT,MBL,OUT,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
MBL-CALLBACK-OUT,MBL,OUT,TRUE,FALSE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
MBL-LOAN-IN,MBL,IN,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
MBL-DOCUMENTS-IN,MBL,IN,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
MBL-STATUS-IN,MBL,IN,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
MBL-SUPPORT-IN,MBL,IN,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
MBL-APPOINTMENT-IN,MBL,IN,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
RLP-BUYERS-OUT,RLP,OUT,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
RLP-SELLERS-OUT,RLP,OUT,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
RLP-INVESTORS-OUT,RLP,OUT,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
RLP-RENTALS-OUT,RLP,OUT,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
RLP-FOLLOWUP-OUT,RLP,OUT,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
RLP-CALLBACK-OUT,RLP,OUT,TRUE,FALSE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
RLP-BUYERS-IN,RLP,IN,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
RLP-SELLERS-IN,RLP,IN,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
RLP-INVESTORS-IN,RLP,IN,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
RLP-PROPERTY-IN,RLP,IN,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
RLP-APPOINTMENT-IN,RLP,IN,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
FTP-DONOR-OUT,FTP,OUT,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
FTP-SPONSOR-OUT,FTP,OUT,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
FTP-PLEDGE-OUT,FTP,OUT,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
FTP-RETENTION-OUT,FTP,OUT,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
FTP-CALLBACK-OUT,FTP,OUT,TRUE,FALSE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
FTP-DONATIONS-IN,FTP,IN,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
FTP-DONOR-SUPPORT-IN,FTP,IN,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
FTP-SPONSOR-IN,FTP,IN,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
FTP-APPOINTMENT-IN,FTP,IN,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
TRX-SALES-OUT,TRX,OUT,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
TRX-DEMO-OUT,TRX,OUT,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
TRX-TRIAL-OUT,TRX,OUT,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
TRX-ONBOARDING-OUT,TRX,OUT,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
TRX-RENEWAL-OUT,TRX,OUT,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
TRX-CALLBACK-OUT,TRX,OUT,TRUE,FALSE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
TRX-SALES-IN,TRX,IN,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
TRX-DEMO-IN,TRX,IN,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
TRX-SUPPORT-IN,TRX,IN,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
TRX-BILLING-IN,TRX,IN,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
TRX-APPOINTMENT-IN,TRX,IN,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
CAL-WHOLESALE-OUT,CAL,OUT,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
CAL-EXPORT-OUT,CAL,OUT,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
CAL-PARTNERS-OUT,CAL,OUT,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
CAL-REORDER-OUT,CAL,OUT,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
CAL-CALLBACK-OUT,CAL,OUT,TRUE,FALSE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
CAL-BUYERS-IN,CAL,IN,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
CAL-EXPORT-IN,CAL,IN,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
CAL-SUPPORT-IN,CAL,IN,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
CAL-APPOINTMENT-IN,CAL,IN,FALSE,TRUE,MISSING,NOT_TESTED,NOT_TESTED,NOT_TESTED,STAGING_READY,FALSE,NOT_TESTED,PARTIAL
