canonical_campaign_code,vicidial_campaign_id,business_unit_code,direction,technical_callback_compatibility,agent_login_allowed,vicidial_user_group_id,vicidial_inbound_group_id,default_list_id,vicidial_script_id,disposition_set_key,email_alias_key,catalog_status
MOY-CARRIER-OUT,MOYCARRO,MOY,OUT,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
MOY-SHIPPER-OUT,MOYSHIPO,MOY,OUT,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
MOY-DISPATCH-OUT,MOYDISPO,MOY,OUT,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
MOY-PARTNER-OUT,MOYPARTO,MOY,OUT,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
MOY-RETENTION-OUT,MOYRETNO,MOY,OUT,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
MOY-UPSELL-OUT,MOYUPSLO,MOY,OUT,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
MOY-CALLBACK-OUT,MOYCBCKO,MOY,OUT,TRUE,FALSE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
MOY-CARRIER-IN,MOYCARRI,MOY,IN,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
MOY-SHIPPER-IN,MOYSHIPI,MOY,IN,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
MOY-DISPATCH-IN,MOYDISPI,MOY,IN,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
MOY-SUPPORT-IN,MOYSUPPI,MOY,IN,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
MOY-BILLING-IN,MOYBILLI,MOY,IN,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
MOY-APPOINTMENT-IN,MOYAPPTI,MOY,IN,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
COD-WEB-OUT,CODWEBO,COD,OUT,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
COD-MOBILE-OUT,CODMOBLO,COD,OUT,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
COD-AI-OUT,CODAIDVO,COD,OUT,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
COD-ODOO-OUT,CODODOOO,COD,OUT,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
COD-AUTOMATION-OUT,CODAUTOO,COD,OUT,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
COD-HOSTING-OUT,CODHOSTO,COD,OUT,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
COD-RENEWAL-OUT,CODRENEO,COD,OUT,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
COD-UPSELL-OUT,CODUPSLO,COD,OUT,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
COD-CALLBACK-OUT,CODCBCKO,COD,OUT,TRUE,FALSE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
COD-WEB-IN,CODWEBI,COD,IN,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
COD-MOBILE-IN,CODMOBLI,COD,IN,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
COD-AI-IN,CODAIDVI,COD,IN,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
COD-ODOO-IN,CODODOOI,COD,IN,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
COD-SUPPORT-IN,CODSUPPI,COD,IN,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
COD-BILLING-IN,CODBILLI,COD,IN,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
COD-APPOINTMENT-IN,CODAPPTI,COD,IN,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
SCP-PRODUCT-OUT,SCPPRODO,SCP,OUT,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
SCP-CAREGIVER-OUT,SCPCAREO,SCP,OUT,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
SCP-REORDER-OUT,SCPREORO,SCP,OUT,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
SCP-RETENTION-OUT,SCPRETNO,SCP,OUT,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
SCP-UPSELL-OUT,SCPUPSLO,SCP,OUT,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
SCP-CALLBACK-OUT,SCPCBCKO,SCP,OUT,TRUE,FALSE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
