branch,head_sha,base_branch,base_sha,pr_number,pr_state,draft,commits_ahead_main,latest_ci,module_count,purpose,contains_application_code,contains_migrations,contains_security_changes,contains_api_changes,contains_business_data,classification,canonical_source_candidate,notes
architecture/middleware-write-boundary,ad5bfbfa747a995bd2142d5cc5ebf5e007fc289e,main,35d87740ac76458e3652b7d71ba2a2a6da2d8893,2,OPEN,FALSE,2,Validate Odoo source head:SUCCESS;Validate Odoo merge result:SUCCESS;Validate Odoo main push:SKIPPED,0,architecture: enforce Middleware-only Odoo writes,NO,NO,NO,NO,NO,DUPLICATE,NO,same tip: architecture/middleware-write-boundary;integration/n8n-middleware-automation-contract-v1
chore/odoo-gitops-bootstrap,9603eb587f491c34655777e2d0b565f311ab6d7a,main,6ad1456aa6e8c9f23c928c548694d981bf6dbe68,1,MERGED,FALSE,9,Validate Odoo custom addons:SUCCESS,0,chore: bootstrap secure Odoo 19 GitOps repository,NO,NO,NO,NO,NO,SUPERSEDED,NO,
crm/odoo-campaign-core,e3e542cdeedc1ae8fa6c19e8e4011ad5b1779250,main,35d87740ac76458e3652b7d71ba2a2a6da2d8893,,NO_PR,,16,NO_CHECKS,36,test(crm): add LARIMIA core security and projection gates,YES,YES,YES,YES,YES,NEEDS_SELECTIVE_PORT,NO,
docs/cc-production-gates,f6cbd368885a184ee9a0824877cc45bb25ef15be,main,35d87740ac76458e3652b7d71ba2a2a6da2d8893,,NO_PR,,121,Test exact Odoo 19 and PostgreSQL branch runtime:success;Test Odoo 19 and PostgreSQL runtime:skipped;Validate Odoo merge result:skipped;Validate Odoo source head:skipped;Validate exact Odoo branch push:success,77,docs(cc): retain final gate evidence,YES,YES,YES,YES,YES,RELEASE_EVIDENCE_ONLY,NO,
docs/odoo-contact-center-authority,f7ccff9e4a9894939e8fdd06cef10e342ff5169d,fix/cc-11-production-readiness,6dc403350da71962af28603c0bdf2e73f7f6821e,26,OPEN,TRUE,40,Validate Odoo source head:SUCCESS;Validate Odoo merge result:SUCCESS;Validate Odoo main push:SKIPPED;Test Odoo 19 and PostgreSQL runtime:SUCCESS;Test merged Odoo 19 and PostgreSQL runtime:SKIPPED,59,docs(cc): establish Odoo contact-center staging authority,YES,YES,YES,YES,YES,SUPERSEDED,NO,
feat/cc-bu-calderon,ff1e58dfdfefc6cdbfebfc0949380fd31624fd39,main,35d87740ac76458e3652b7d71ba2a2a6da2d8893,,NO_PR,,114,Test exact Odoo 19 and PostgreSQL branch runtime:success;Validate Odoo source head:skipped;Validate Odoo merge result:skipped;Test Odoo 19 and PostgreSQL runtime:skipped;Validate exact Odoo branch push:success;Test exact Odoo 19 and PostgreSQL branch runtime:success;Test Odoo 19 and PostgreSQL runtime:skipped;Validate Odoo source head:skipped;Validate Odoo merge result:skipped;Validate exact Odoo branch push:success,76,fix(cc): attach Calderon menu to call center root,YES,YES,YES,YES,YES,DUPLICATE,NO,same tip: feat/cc-bu-calderon;feat/cc-bu-calderon-farm
feat/cc-bu-calderon-farm,ff1e58dfdfefc6cdbfebfc0949380fd31624fd39,main,35d87740ac76458e3652b7d71ba2a2a6da2d8893,,NO_PR,,114,Test exact Odoo 19 and PostgreSQL branch runtime:success;Validate Odoo source head:skipped;Validate Odoo merge result:skipped;Test Odoo 19 and PostgreSQL runtime:skipped;Validate exact Odoo branch push:success;Test exact Odoo 19 and PostgreSQL branch runtime:success;Test Odoo 19 and PostgreSQL runtime:skipped;Validate Odoo source head:skipped;Validate Odoo merge result:skipped;Validate exact Odoo branch push:success,76,fix(cc): attach Calderon menu to call center root,YES,YES,YES,YES,YES,DUPLICATE,NO,same tip: feat/cc-bu-calderon;feat/cc-bu-calderon-farm
feat/cc-bu-codestra,1317719d78660e09cafaefb2f4ad448195f0ecfc,main,35d87740ac76458e3652b7d71ba2a2a6da2d8893,,NO_PR,,95,Test exact Odoo 19 and PostgreSQL branch runtime:success;Test Odoo 19 and PostgreSQL runtime:skipped;Validate Odoo source head:skipped;Validate Odoo merge result:skipped;Validate exact Odoo branch push:success,69,fix(cc): attach overlay menus to Odoo 19 call center root,YES,YES,YES,YES,YES,NEEDS_SELECTIVE_PORT,NO,
feat/cc-bu-for-the-people,834ce411620274809d7bc7944eeb2b21b45464a3,main,35d87740ac76458e3652b7d71ba2a2a6da2d8893,,NO_PR,,108,Test exact Odoo 19 and PostgreSQL branch runtime:success;Validate Odoo source head:skipped;Test Odoo 19 and PostgreSQL runtime:skipped;Validate Odoo merge result:skipped;Validate exact Odoo branch push:success;Test exact Odoo 19 and PostgreSQL branch runtime:success;Test Odoo 19 and PostgreSQL runtime:skipped;Validate Odoo source head:skipped;Validate Odoo merge result:skipped;Validate exact Odoo branch push:success,74,fix(cc): attach donor menu to call center root,YES,YES,YES,YES,YES,DUPLICATE,NO,same tip: feat/cc-bu-for-the-people;feat/cc-bu-ftp
feat/cc-bu-ftp,834ce411620274809d7bc7944eeb2b21b45464a3,main,35d87740ac76458e3652b7d71ba2a2a6da2d8893,,NO_PR,,108,Test exact Odoo 19 and PostgreSQL branch runtime:success;Validate Odoo source head:skipped;Test Odoo 19 and PostgreSQL runtime:skipped;Validate Odoo merge result:skipped;Validate exact Odoo branch push:success;Test exact Odoo 19 and PostgreSQL branch runtime:success;Test Odoo 19 and PostgreSQL runtime:skipped;Validate Odoo source head:skipped;Validate Odoo merge result:skipped;Validate exact Odoo branch push:success,74,fix(cc): attach donor menu to call center root,YES,YES,YES,YES,YES,DUPLICATE,NO,same tip: feat/cc-bu-for-the-people;feat/cc-bu-ftp
