model,module,campaign_owned,ownership_field,current_acl,current_record_rule,negative_test,status
cc.business.unit,codestra_cc_core,FALSE,legacy_business_unit_id,"Scoped roles read; global admin governed write/create; no role unlink","Global allowed-business-unit rule; explicit global-admin or active break-glass bypass","Direct unauthorized ID denied; immutable legacy owner; canonical code",PASS
cc.campaign,codestra_cc_core,TRUE,cc_business_unit_id,"Scoped roles read; global admin governed write/create; no role unlink","Global allowed-campaign rule; explicit global-admin or active break-glass bypass","Search/read/name-search/read-group/export/copy/create/write negative coverage; live activation rejected",PASS
cc.campaign.channel,codestra_cc_core,TRUE,campaign_id,"Scoped roles read; configuration manager/global admin governed create/write; no role unlink","Global allowed-campaign rule; explicit global-admin or active break-glass bypass","Immutable campaign/mapping; callback login and activation rejected",PASS
cc.campaign.policy,codestra_cc_core,TRUE,campaign_id,"Scoped roles read; configuration manager/global admin governed create/write; no role unlink","Global allowed-campaign rule; explicit global-admin or active break-glass bypass","Immutable approved version; effective-period validation; approval reserved",PASS
cc.campaign.scoped.mixin,codestra_cc_core,TRUE,campaign_id,Abstract model,Downstream global membership rule required,"Campaign reassignment rejected",PARTIAL
cc.campaign.membership,codestra_cc_security,TRUE,campaign_id,"Scoped self/supervisor read; global admin governed create/write; no unlink","Global campaign scope plus self or supervised-campaign membership visibility","Exact-one operational assignment; one primary supervisor; immutable ownership; approval/read-back gating",PASS
cc.break.glass.grant,codestra_cc_security,FALSE,user_id,"Technical requester; Compliance/global approval; auditor read; no unlink","Global governance/auditor visibility; technical user sees own evidence only","Separate approval; four-hour maximum; technical denial before grant; access removed on revoke",PASS
cc.audit.event,codestra_cc_audit,TRUE,campaign_id,"Scoped/compliance/auditor/global/service append-only create; no write/unlink","Actor-only default; campaign Compliance; auditor/global all evidence","Direct create/write/unlink denied; exact replay; altered replay; actor chain continuity; secret metadata rejected",PASS
cc.compliance.policy,codestra_cc_compliance,TRUE,campaign_id,"Scoped read; configuration author create; Compliance/global approval; auditor read; no unlink","Campaign-global scope with explicit auditor/global/service exceptions","Separate author/approver; one active version; approved fields immutable; unsafe live capabilities rejected",PASS
cc.consent.evidence,codestra_cc_compliance,TRUE,campaign_id,"Agent/supervisor/Compliance/service governed append; auditor read; no write/unlink","Campaign scope plus assigned-customer agent rule and supervised-campaign rule","Direct forgery denied; exact replay; altered replay; revocation creates immediate suppression",PASS
cc.suppression.entry,codestra_cc_compliance,TRUE,campaign_id,"Governed append; Compliance/global separate release; auditor read; no unlink","Campaign scope plus assigned-customer agent rule and supervised-campaign rule","Immediate DNC; one active destination; requester self-approval denied; released evidence retained",PASS
cc.contact.eligibility.evidence,codestra_cc_compliance,TRUE,campaign_id,"Server-evaluated append; campaign roles read; auditor read; no write/unlink","Campaign scope plus assigned-customer agent rule and supervised-campaign rule","Policy/consent/DNC/local-time/capability evaluation; cross-campaign and direct-create denial",PASS
cc.payment.safety.session,codestra_cc_compliance,TRUE,campaign_id,"Agent governed start; Compliance/recording service transitions; auditor read; no unlink","Campaign scope plus own-agent and supervised-campaign rules","Pause-before-tokenization; hashes only; forged row and prohibited payment data denied",PASS
cc.payment.safety.event,codestra_cc_compliance,TRUE,campaign_id,"Internal append-only timeline; scoped/auditor read; no write/unlink","Campaign scope plus own-agent and supervised-campaign rules","Ordered pause/tokenized/completion evidence; direct create/write/unlink denied",PASS
cc.legal.hold,codestra_cc_compliance,TRUE,campaign_id,"Compliance/global governed request/approval/release; auditor read; no unlink","Campaign scope with auditor/global/service exceptions","Separate requester/approver; reason/ticket hashes; direct state mutation denied",PASS
cc.retention.decision,codestra_cc_compliance,TRUE,campaign_id,"Compliance/global/service governed assessment; auditor read; no write/unlink","Campaign scope with auditor/global/service exceptions","Legal hold overrides elapsed retention; immutable decision hash; no deletion capability",PASS
