layer,module,target_responsibility,current_state,legacy_owner_or_compatibility,recommended_action,status
foundation,codestra_cc_core,"Business units; campaign workspaces; campaign-scoped mixin; lifecycle; base menus",Concrete canonical adoption layer,"call_center_core; call_center_campaign; codestra_vicidial_crm","One-to-one delegated adoption is implemented; preserve it as the foundation for downstream modules",PASS
foundation,codestra_cc_security,"Groups; ACLs; global rules; membership constraints; break-glass; negative helpers",Concrete fail-closed security layer,"Canonical scope plus isolated compatibility with legacy owners","Extend with OIDC/session pinning and automated expiry on the identity branch",PASS
foundation,codestra_cc_identity,"Employee/user mapping; SSO claims; session scope; desired state; deprovisioning",Dependency facade,call_center_identity_provisioning,"Extend the compatible identity owner with membership and session-scope contracts",PARTIAL
foundation,codestra_cc_crm,"Campaign-scoped leads; stages; activities; customer profiles; assignment","Concrete canonical composition layer","codestra_campaign_crm_os; crm","Preserve canonical customer projections and reconcile legacy CRM ownership through the reviewed adapter",PASS
foundation,codestra_cc_helpdesk,"Campaign-scoped tickets; SLAs; escalations; knowledge links","Concrete Community boundary; Enterprise adapter absent","No installed Enterprise Helpdesk model in the disposable snapshot","Preserve canonical queues/tickets/SLA evidence; add a separately tested Enterprise adapter only when that dependency exists",PASS
foundation,codestra_cc_mail,"Aliases; sender identities; distribution; quarantine; safe chatter",Absent,"codestra_mail_inbox; codestra_cc_mailbox facade","Adopt existing mail records and enforce campaign scope on mail surfaces",MISSING
foundation,codestra_cc_vicidial,"Canonical mappings; desired state; adapters; read-back",Concrete fail-closed mapping boundary,"codestra_vicidial_crm; codestra_telephony_bridge; call_center_campaign","Preserve the 93 checksum-pinned disabled mappings; complete the missing native catalog before approved middleware migration",PASS
foundation,codestra_cc_calls,"Calls; events; queues; transfers; callbacks; screen-pop context",Absent,"codestra_vicidial_crm; codestra_appointments; telephony bridge","Normalize legacy call objects after security and identity",MISSING
foundation,codestra_cc_scripts,"Immutable script versions; approvals; acknowledgements; rendering","Concrete canonical adoption and governance layer","codestra_cc_disposition module over call.center.script","Preserve separate approval, hash-bound rendering, and campaign-scoped acknowledgement evidence",PASS
foundation,codestra_cc_dispositions,"Campaign-owned sets; validation; workflow mappings","Concrete fail-closed schema; controlled rows absent","codestra_cc_disposition module over codestra.disposition","Supply and validate the original 2677-row catalog before any set can enter review",BLOCKED
foundation,codestra_cc_recordings,"Metadata; storage references; access; redaction; retention; holds",Absent,codestra_vicidial_recording,"Adopt compatible recording metadata and add policy enforcement",MISSING
foundation,codestra_cc_quality,"Scorecards; sampling; evaluation; calibration; coaching",Dependency facade,Legacy quality modules,"Extend through the campaign-owned recording/call boundary",PARTIAL
foundation,codestra_cc_wfm,"Forecast; schedule; attendance; adherence; occupancy; exceptions",Absent,codestra_cc_workforce,"Adopt the concrete shift model and migrate to the target boundary",MISSING
foundation,codestra_cc_compliance,"Consent; DNC; calling hours; disclosures; payment safety; policy versions",Dependency facade,call_center_compliance,"Extend compatible controls with campaign policy and evidence",PARTIAL
foundation,codestra_cc_reporting,"Campaign dashboards; reconciliation; KPI snapshots; admin aggregates",Absent,"codestra_cc_analytics; codestra_analytics_reporting","Compose existing analytics after normalized scoped events exist",MISSING
foundation,codestra_cc_integration,"Outbox/inbox; idempotency; events; middleware client; flags",Absent,"codestra_integration_hub; telephony bridge","Create a fail-closed middleware-only boundary",MISSING
