canonical_campaign_code,business_unit_code,direction,workforce_policy_status,forecast_status,schedule_status,schedule_change_status,adherence_status,exception_queue_status,realtime_snapshot_status,kpi_reporting_policy_status,external_state_readback,status
MOY-CARRIER-OUT,MOY,OUT,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,MISSING,NOT_TESTED,PARTIAL
MOY-SHIPPER-OUT,MOY,OUT,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,MISSING,NOT_TESTED,PARTIAL
MOY-DISPATCH-OUT,MOY,OUT,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,MISSING,NOT_TESTED,PARTIAL
MOY-PARTNER-OUT,MOY,OUT,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,MISSING,NOT_TESTED,PARTIAL
MOY-RETENTION-OUT,MOY,OUT,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,MISSING,NOT_TESTED,PARTIAL
MOY-UPSELL-OUT,MOY,OUT,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,MISSING,NOT_TESTED,PARTIAL
MOY-CALLBACK-OUT,MOY,OUT,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,MISSING,NOT_TESTED,PARTIAL
MOY-CARRIER-IN,MOY,IN,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,MISSING,NOT_TESTED,PARTIAL
MOY-SHIPPER-IN,MOY,IN,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,MISSING,NOT_TESTED,PARTIAL
MOY-DISPATCH-IN,MOY,IN,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,MISSING,NOT_TESTED,PARTIAL
MOY-SUPPORT-IN,MOY,IN,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,MISSING,NOT_TESTED,PARTIAL
MOY-BILLING-IN,MOY,IN,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,MISSING,NOT_TESTED,PARTIAL
