canonical_campaign_code,vicidial_campaign_id,business_unit_code,direction,technical_callback_compatibility,agent_login_allowed,catalog_status,legacy_classification,migration_state,desired_enabled,external_readback_status
MOY-CARRIER-OUT,MOYCARRO,MOY,OUT,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
MOY-SHIPPER-OUT,MOYSHIPO,MOY,OUT,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
MOY-DISPATCH-OUT,MOYDISPO,MOY,OUT,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
MOY-PARTNER-OUT,MOYPARTO,MOY,OUT,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
MOY-RETENTION-OUT,MOYRETNO,MOY,OUT,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
MOY-UPSELL-OUT,MOYUPSLO,MOY,OUT,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
MOY-CALLBACK-OUT,MOYCBCKO,MOY,OUT,TRUE,FALSE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
MOY-CARRIER-IN,MOYCARRI,MOY,IN,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
MOY-SHIPPER-IN,MOYSHIPI,MOY,IN,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
MOY-DISPATCH-IN,MOYDISPI,MOY,IN,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
MOY-SUPPORT-IN,MOYSUPPI,MOY,IN,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
MOY-BILLING-IN,MOYBILLI,MOY,IN,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
MOY-APPOINTMENT-IN,MOYAPPTI,MOY,IN,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
COD-WEB-OUT,CODWEBO,COD,OUT,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
COD-MOBILE-OUT,CODMOBLO,COD,OUT,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
COD-AI-OUT,CODAIDVO,COD,OUT,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
COD-ODOO-OUT,CODODOOO,COD,OUT,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
COD-AUTOMATION-OUT,CODAUTOO,COD,OUT,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
COD-HOSTING-OUT,CODHOSTO,COD,OUT,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
COD-RENEWAL-OUT,CODRENEO,COD,OUT,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
COD-UPSELL-OUT,CODUPSLO,COD,OUT,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
COD-CALLBACK-OUT,CODCBCKO,COD,OUT,TRUE,FALSE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
COD-WEB-IN,CODWEBI,COD,IN,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
COD-MOBILE-IN,CODMOBLI,COD,IN,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
COD-AI-IN,CODAIDVI,COD,IN,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
COD-ODOO-IN,CODODOOI,COD,IN,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
COD-SUPPORT-IN,CODSUPPI,COD,IN,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
COD-BILLING-IN,CODBILLI,COD,IN,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
COD-APPOINTMENT-IN,CODAPPTI,COD,IN,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
SCP-PRODUCT-OUT,SCPPRODO,SCP,OUT,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
SCP-CAREGIVER-OUT,SCPCAREO,SCP,OUT,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
SCP-REORDER-OUT,SCPREORO,SCP,OUT,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
SCP-RETENTION-OUT,SCPRETNO,SCP,OUT,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
SCP-UPSELL-OUT,SCPUPSLO,SCP,OUT,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
SCP-CALLBACK-OUT,SCPCBCKO,SCP,OUT,TRUE,FALSE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
SCP-PRODUCT-IN,SCPPRODI,SCP,IN,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
SCP-ORDER-IN,SCPORDRI,SCP,IN,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
SCP-SUPPORT-IN,SCPSUPPI,SCP,IN,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
SCP-WARRANTY-IN,SCPWARRI,SCP,IN,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
SCP-BILLING-IN,SCPBILLI,SCP,IN,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
SCP-CAREGIVER-IN,SCPCAREI,SCP,IN,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
SCP-APPOINTMENT-IN,SCPAPPTI,SCP,IN,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
MBL-NEW-LOAN-OUT,MBLNEWLO,MBL,OUT,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
MBL-DOCUMENTS-OUT,MBLDOCSO,MBL,OUT,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
MBL-OFFER-OUT,MBLOFFRO,MBL,OUT,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
MBL-FUNDING-OUT,MBLFUNDO,MBL,OUT,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
MBL-RENEWAL-OUT,MBLRENEO,MBL,OUT,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
MBL-CALLBACK-OUT,MBLCBCKO,MBL,OUT,TRUE,FALSE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
MBL-LOAN-IN,MBLLOANI,MBL,IN,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
MBL-DOCUMENTS-IN,MBLDOCSI,MBL,IN,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
MBL-STATUS-IN,MBLSTATI,MBL,IN,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
MBL-SUPPORT-IN,MBLSUPPI,MBL,IN,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
MBL-APPOINTMENT-IN,MBLAPPTI,MBL,IN,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
RLP-BUYERS-OUT,RLPBUYRO,RLP,OUT,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
RLP-SELLERS-OUT,RLPSELLO,RLP,OUT,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
RLP-INVESTORS-OUT,RLPINVSO,RLP,OUT,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
RLP-RENTALS-OUT,RLPRENTO,RLP,OUT,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
RLP-FOLLOWUP-OUT,RLPFOLWO,RLP,OUT,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
RLP-CALLBACK-OUT,RLPCBCKO,RLP,OUT,TRUE,FALSE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
RLP-BUYERS-IN,RLPBUYRI,RLP,IN,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
RLP-SELLERS-IN,RLPSELLI,RLP,IN,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
RLP-INVESTORS-IN,RLPINVSI,RLP,IN,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
RLP-PROPERTY-IN,RLPPROPI,RLP,IN,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
RLP-APPOINTMENT-IN,RLPAPPTI,RLP,IN,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
FTP-DONOR-OUT,FTPDONRO,FTP,OUT,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
FTP-SPONSOR-OUT,FTPSPONO,FTP,OUT,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
FTP-PLEDGE-OUT,FTPPLDGO,FTP,OUT,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
FTP-RETENTION-OUT,FTPRETNO,FTP,OUT,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
FTP-CALLBACK-OUT,FTPCBCKO,FTP,OUT,TRUE,FALSE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
FTP-DONATIONS-IN,FTPDONTI,FTP,IN,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
FTP-DONOR-SUPPORT-IN,FTPDNSPI,FTP,IN,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
FTP-SPONSOR-IN,FTPSPONI,FTP,IN,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
FTP-APPOINTMENT-IN,FTPAPPTI,FTP,IN,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
TRX-SALES-OUT,TRXSALEO,TRX,OUT,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
TRX-DEMO-OUT,TRXDEMOO,TRX,OUT,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
TRX-TRIAL-OUT,TRXTRILO,TRX,OUT,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
TRX-ONBOARDING-OUT,TRXONBDO,TRX,OUT,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
TRX-RENEWAL-OUT,TRXRENEO,TRX,OUT,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
TRX-CALLBACK-OUT,TRXCBCKO,TRX,OUT,TRUE,FALSE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
TRX-SALES-IN,TRXSALEI,TRX,IN,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
TRX-DEMO-IN,TRXDEMOI,TRX,IN,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
TRX-SUPPORT-IN,TRXSUPPI,TRX,IN,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
TRX-BILLING-IN,TRXBILLI,TRX,IN,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
TRX-APPOINTMENT-IN,TRXAPPTI,TRX,IN,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
CAL-WHOLESALE-OUT,CALWHSLO,CAL,OUT,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
CAL-EXPORT-OUT,CALEXPTO,CAL,OUT,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
CAL-PARTNERS-OUT,CALPARTO,CAL,OUT,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
CAL-REORDER-OUT,CALREORO,CAL,OUT,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
CAL-CALLBACK-OUT,CALCBCKO,CAL,OUT,TRUE,FALSE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
CAL-BUYERS-IN,CALBUYRI,CAL,IN,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
CAL-EXPORT-IN,CALEXPTI,CAL,IN,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
CAL-SUPPORT-IN,CALSUPPI,CAL,IN,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
CAL-APPOINTMENT-IN,CALAPPTI,CAL,IN,FALSE,TRUE,PARTIAL,DRIFT,BLOCKED_PARTIAL_CATALOG,FALSE,NOT_TESTED
