canonical_campaign_code,vicidial_campaign_id,business_unit_code,direction,catalog_vicidial_script_id,canonical_owner,external_publication_enabled,external_readback_status,status
MOY-CARRIER-OUT,MOYCARRO,MOY,OUT,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
MOY-SHIPPER-OUT,MOYSHIPO,MOY,OUT,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
MOY-DISPATCH-OUT,MOYDISPO,MOY,OUT,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
MOY-PARTNER-OUT,MOYPARTO,MOY,OUT,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
MOY-RETENTION-OUT,MOYRETNO,MOY,OUT,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
MOY-UPSELL-OUT,MOYUPSLO,MOY,OUT,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
MOY-CALLBACK-OUT,MOYCBCKO,MOY,OUT,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
MOY-CARRIER-IN,MOYCARRI,MOY,IN,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
MOY-SHIPPER-IN,MOYSHIPI,MOY,IN,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
MOY-DISPATCH-IN,MOYDISPI,MOY,IN,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
MOY-SUPPORT-IN,MOYSUPPI,MOY,IN,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
MOY-BILLING-IN,MOYBILLI,MOY,IN,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
MOY-APPOINTMENT-IN,MOYAPPTI,MOY,IN,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
COD-WEB-OUT,CODWEBO,COD,OUT,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
COD-MOBILE-OUT,CODMOBLO,COD,OUT,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
COD-AI-OUT,CODAIDVO,COD,OUT,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
COD-ODOO-OUT,CODODOOO,COD,OUT,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
COD-AUTOMATION-OUT,CODAUTOO,COD,OUT,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
COD-HOSTING-OUT,CODHOSTO,COD,OUT,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
COD-RENEWAL-OUT,CODRENEO,COD,OUT,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
COD-UPSELL-OUT,CODUPSLO,COD,OUT,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
COD-CALLBACK-OUT,CODCBCKO,COD,OUT,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
COD-WEB-IN,CODWEBI,COD,IN,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
COD-MOBILE-IN,CODMOBLI,COD,IN,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
COD-AI-IN,CODAIDVI,COD,IN,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
COD-ODOO-IN,CODODOOI,COD,IN,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
COD-SUPPORT-IN,CODSUPPI,COD,IN,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
