canonical_campaign_code,business_unit_code,direction,quality_program_status,scorecard_status,sampling_status,evaluation_status,separate_finalizer_status,calibration_status,dispute_status,coaching_status,ai_assist_enabled,status
MOY-CARRIER-OUT,MOY,OUT,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
MOY-SHIPPER-OUT,MOY,OUT,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
MOY-DISPATCH-OUT,MOY,OUT,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
MOY-PARTNER-OUT,MOY,OUT,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
MOY-RETENTION-OUT,MOY,OUT,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
MOY-UPSELL-OUT,MOY,OUT,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
MOY-CALLBACK-OUT,MOY,OUT,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
MOY-CARRIER-IN,MOY,IN,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
MOY-SHIPPER-IN,MOY,IN,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
MOY-DISPATCH-IN,MOY,IN,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
MOY-SUPPORT-IN,MOY,IN,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
MOY-BILLING-IN,MOY,IN,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
MOY-APPOINTMENT-IN,MOY,IN,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
COD-WEB-OUT,COD,OUT,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
COD-MOBILE-OUT,COD,OUT,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
COD-AI-OUT,COD,OUT,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
COD-ODOO-OUT,COD,OUT,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
COD-AUTOMATION-OUT,COD,OUT,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
COD-HOSTING-OUT,COD,OUT,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
COD-RENEWAL-OUT,COD,OUT,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
COD-UPSELL-OUT,COD,OUT,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
COD-CALLBACK-OUT,COD,OUT,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
COD-WEB-IN,COD,IN,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
COD-MOBILE-IN,COD,IN,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
COD-AI-IN,COD,IN,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
