canonical_campaign_code,vicidial_campaign_id,business_unit_code,direction,controlled_catalog_rows,canonical_owner,catalog_status,approval_state,external_readback_status,status
MOY-CARRIER-OUT,MOYCARRO,MOY,OUT,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
MOY-SHIPPER-OUT,MOYSHIPO,MOY,OUT,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
MOY-DISPATCH-OUT,MOYDISPO,MOY,OUT,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
MOY-PARTNER-OUT,MOYPARTO,MOY,OUT,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
MOY-RETENTION-OUT,MOYRETNO,MOY,OUT,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
MOY-UPSELL-OUT,MOYUPSLO,MOY,OUT,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
MOY-CALLBACK-OUT,MOYCBCKO,MOY,OUT,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
MOY-CARRIER-IN,MOYCARRI,MOY,IN,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
MOY-SHIPPER-IN,MOYSHIPI,MOY,IN,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
MOY-DISPATCH-IN,MOYDISPI,MOY,IN,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
MOY-SUPPORT-IN,MOYSUPPI,MOY,IN,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
MOY-BILLING-IN,MOYBILLI,MOY,IN,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
MOY-APPOINTMENT-IN,MOYAPPTI,MOY,IN,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
COD-WEB-OUT,CODWEBO,COD,OUT,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
COD-MOBILE-OUT,CODMOBLO,COD,OUT,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
COD-AI-OUT,CODAIDVO,COD,OUT,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
COD-ODOO-OUT,CODODOOO,COD,OUT,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
COD-AUTOMATION-OUT,CODAUTOO,COD,OUT,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
COD-HOSTING-OUT,CODHOSTO,COD,OUT,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
COD-RENEWAL-OUT,CODRENEO,COD,OUT,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
COD-UPSELL-OUT,CODUPSLO,COD,OUT,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
COD-CALLBACK-OUT,CODCBCKO,COD,OUT,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
COD-WEB-IN,CODWEBI,COD,IN,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
COD-MOBILE-IN,CODMOBLI,COD,IN,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
COD-AI-IN,CODAIDVI,COD,IN,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
COD-ODOO-IN,CODODOOI,COD,IN,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
COD-SUPPORT-IN,CODSUPPI,COD,IN,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
COD-BILLING-IN,CODBILLI,COD,IN,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
COD-APPOINTMENT-IN,CODAPPTI,COD,IN,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
SCP-PRODUCT-OUT,SCPPRODO,SCP,OUT,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
