canonical_campaign_code,business_unit_code,direction,email_alias_key,odoo_route_status,external_send_enabled,inbound_mutation_enabled,evidence_status
MOY-CARRIER-OUT,MOY,OUT,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
MOY-SHIPPER-OUT,MOY,OUT,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
MOY-DISPATCH-OUT,MOY,OUT,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
MOY-PARTNER-OUT,MOY,OUT,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
MOY-RETENTION-OUT,MOY,OUT,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
MOY-UPSELL-OUT,MOY,OUT,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
MOY-CALLBACK-OUT,MOY,OUT,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
MOY-CARRIER-IN,MOY,IN,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
MOY-SHIPPER-IN,MOY,IN,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
MOY-DISPATCH-IN,MOY,IN,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
MOY-SUPPORT-IN,MOY,IN,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
MOY-BILLING-IN,MOY,IN,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
MOY-APPOINTMENT-IN,MOY,IN,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
COD-WEB-OUT,COD,OUT,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
COD-MOBILE-OUT,COD,OUT,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
COD-AI-OUT,COD,OUT,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
COD-ODOO-OUT,COD,OUT,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
COD-AUTOMATION-OUT,COD,OUT,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
COD-HOSTING-OUT,COD,OUT,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
COD-RENEWAL-OUT,COD,OUT,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
COD-UPSELL-OUT,COD,OUT,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
COD-CALLBACK-OUT,COD,OUT,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
COD-WEB-IN,COD,IN,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
COD-MOBILE-IN,COD,IN,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
COD-AI-IN,COD,IN,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
COD-ODOO-IN,COD,IN,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
COD-SUPPORT-IN,COD,IN,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
COD-BILLING-IN,COD,IN,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
COD-APPOINTMENT-IN,COD,IN,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
SCP-PRODUCT-OUT,SCP,OUT,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
SCP-CAREGIVER-OUT,SCP,OUT,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
SCP-REORDER-OUT,SCP,OUT,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
SCP-RETENTION-OUT,SCP,OUT,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
SCP-UPSELL-OUT,SCP,OUT,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
SCP-CALLBACK-OUT,SCP,OUT,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
SCP-PRODUCT-IN,SCP,IN,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
SCP-ORDER-IN,SCP,IN,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
SCP-SUPPORT-IN,SCP,IN,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
SCP-WARRANTY-IN,SCP,IN,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
SCP-BILLING-IN,SCP,IN,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
